Time,Toy_Switch,Child_EG,Parent_EG
00:00.0,Toy Switch Present,,
00:00.0,Toy Switch Present,,
00:00.1,Toy Switch Present,,
00:00.1,Toy Switch Present,,
00:00.1,Toy Switch Present,,
00:00.2,Toy Switch Present,,
00:00.2,Toy Switch Present,,
00:00.2,Toy Switch Present,,
00:00.3,Toy Switch Present,,
00:00.3,Toy Switch Present,,
00:00.3,Toy Switch Present,,
00:00.4,Toy Switch Present,,
00:00.4,Toy Switch Present,,
00:00.4,Toy Switch Present,,
00:00.5,Toy Switch Present,,
00:00.5,Toy Switch Present,,
00:00.5,Toy Switch Present,,
00:00.6,Toy Switch Present,,
00:00.6,Toy Switch Present,,
00:00.6,Toy Switch Present,,
00:00.7,Toy Switch Present,,
00:00.7,Toy Switch Present,,
00:00.7,Toy Switch Present,,
00:00.8,Toy Switch Present,,
00:00.8,Toy Switch Present,,
00:00.8,Toy Switch Present,,
00:00.9,Toy Switch Present,,
00:00.9,Toy Switch Present,,
00:00.9,Toy Switch Present,,
00:01.0,Toy Switch Present,,
00:01.0,Toy Switch Present,,
00:01.0,Toy Switch Present,,
00:01.1,Toy Switch Present,,
00:01.1,Toy Switch Present,,
00:01.1,Toy Switch Present,,
00:01.2,Toy Switch Present,,
00:01.2,Toy Switch Present,,
00:01.2,Toy Switch Present,,
00:01.3,Toy Switch Present,,
00:01.3,Toy Switch Present,,
00:01.3,Toy Switch Present,,
00:01.4,Toy Switch Present,,
00:01.4,Toy Switch Present,,
00:01.4,Toy Switch Present,,
00:01.5,Toy Switch Present,,
00:01.5,Toy Switch Present,,
00:01.5,Toy Switch Present,,
00:01.6,Toy Switch Present,,
00:01.6,Toy Switch Present,,
00:01.6,Toy Switch Present,,
00:01.7,Toy Switch Present,,
00:01.7,Toy Switch Present,,
00:01.7,Toy Switch Present,,
00:01.8,Toy Switch Present,,
00:01.8,Toy Switch Present,,
00:01.8,Toy Switch Present,,
00:01.9,Toy Switch Present,,
00:01.9,Toy Switch Present,,
00:01.9,Toy Switch Present,,
00:02.0,Toy Switch Present,,
00:02.0,Toy Switch Present,,
00:02.0,Toy Switch Present,,
00:02.1,Toy Switch Present,,
00:02.1,Toy Switch Present,,
00:02.1,Toy Switch Present,,
00:02.2,Toy Switch Present,,
00:02.2,Toy Switch Present,,
00:02.2,Toy Switch Present,,
00:02.3,Toy Switch Present,,
00:02.3,Toy Switch Present,,
00:02.3,Toy Switch Present,,
00:02.4,Toy Switch Present,,
00:02.4,Toy Switch Present,,
00:02.4,Toy Switch Present,,
00:02.5,Toy Switch Present,,
00:02.5,Toy Switch Present,,
00:02.5,Toy Switch Present,,
00:02.6,Toy Switch Present,,
00:02.6,Toy Switch Present,,
00:02.6,Toy Switch Present,,
00:02.7,Toy Switch Present,,
00:02.7,Toy Switch Present,,
00:02.7,Toy Switch Present,,
00:02.8,Toy Switch Present,,
00:02.8,Toy Switch Present,,
00:02.8,Toy Switch Present,,
00:02.9,Toy Switch Present,,
00:02.9,Toy Switch Present,,
00:02.9,Toy Switch Present,,
00:03.0,Toy Switch Present,,
00:03.0,Toy Switch Present,,
00:03.0,Toy Switch Present,,
00:03.1,Toy Switch Present,,
00:03.1,Toy Switch Present,,
00:03.1,Toy Switch Present,,
00:03.2,Toy Switch Present,,
00:03.2,Toy Switch Present,,
00:03.2,Toy Switch Present,,
00:03.3,Toy Switch Present,,
00:03.3,Toy Switch Present,,
00:03.3,Toy Switch Present,,
00:03.4,Toy Switch Present,,
00:03.4,Toy Switch Present,,
00:03.4,Toy Switch Present,,
00:03.5,Toy Switch Present,,
00:03.5,Toy Switch Present,,
00:03.5,Toy Switch Present,,
00:03.6,Toy Switch Present,,
00:03.6,Toy Switch Present,,
00:03.6,Toy Switch Present,,
00:03.7,Toy Switch Present,,
00:03.7,Toy Switch Present,,
00:03.7,Toy Switch Present,,
00:03.8,Toy Switch Present,,
00:03.8,Toy Switch Present,,
00:03.8,Toy Switch Present,,
00:03.9,Toy Switch Present,,
00:03.9,Toy Switch Present,,
00:03.9,Toy Switch Present,,
00:04.0,Toy Switch Present,,
00:04.0,Toy Switch Present,,
00:04.0,Toy Switch Present,,
00:04.1,Toy Switch Present,,
00:04.1,Toy Switch Present,,
00:04.1,Toy Switch Present,,
00:04.2,Toy Switch Present,,
00:04.2,Toy Switch Present,,
00:04.2,Toy Switch Present,,
00:04.3,Toy Switch Present,,
00:04.3,Toy Switch Present,,
00:04.3,Toy Switch Present,,
00:04.4,Toy Switch Present,,
00:04.4,Toy Switch Present,,
00:04.4,Toy Switch Present,,
00:04.5,Toy Switch Present,,
00:04.5,Toy Switch Present,,
00:04.5,Toy Switch Present,,
00:04.6,Toy Switch Present,,
00:04.6,Toy Switch Present,,
00:04.6,Toy Switch Present,,
00:04.7,Toy Switch Present,,
00:04.7,Toy Switch Present,,
00:04.7,Toy Switch Present,,
00:04.8,Toy Switch Present,,
00:04.8,Toy Switch Present,,
00:04.8,Toy Switch Present,,
00:04.9,Toy Switch Present,,
00:04.9,Toy Switch Present,,
00:04.9,Toy Switch Present,,
00:05.0,Toy Switch Present,,
00:05.0,Toy Switch Present,,
00:05.0,Toy Switch Present,,
00:05.1,Toy Switch Present,,
00:05.1,Toy Switch Present,,
00:05.1,Toy Switch Present,,
00:05.2,Toy Switch Present,,
00:05.2,Toy Switch Present,,
00:05.2,Toy Switch Present,,
00:05.3,Toy Switch Present,,
00:05.3,Toy Switch Present,,
00:05.3,Toy Switch Present,,
00:05.4,Toy Switch Present,,
00:05.4,Toy Switch Present,,
00:05.4,Toy Switch Present,,
00:05.5,Toy Switch Present,,
00:05.5,Toy Switch Present,,
00:05.5,Toy Switch Present,,
00:05.6,Toy Switch Present,,
00:05.6,Toy Switch Present,,
00:05.6,Toy Switch Present,,
00:05.7,Toy Switch Present,,
00:05.7,Toy Switch Present,,
00:05.7,Toy Switch Present,,
00:05.8,Toy Switch Present,,
00:05.8,Toy Switch Present,,
00:05.8,Toy Switch Present,,
00:05.9,Toy Switch Present,,
00:05.9,Toy Switch Present,,
00:05.9,Toy Switch Present,,
00:06.0,Toy Switch Present,,
00:06.0,Toy Switch Present,,
00:06.0,Toy Switch Present,,
00:06.1,Toy Switch Present,,
00:06.1,Toy Switch Present,,
00:06.1,Toy Switch Present,,
00:06.2,Toy Switch Present,,
00:06.2,Toy Switch Present,,
00:06.2,Toy Switch Present,,
00:06.3,Toy Switch Present,,
00:06.3,Toy Switch Present,,
00:06.3,Toy Switch Present,,
00:06.4,Toy Switch Present,,
00:06.4,Toy Switch Present,,
00:06.4,Toy Switch Present,,
00:06.5,Toy Switch Present,,
00:06.5,Toy Switch Present,,
00:06.5,Toy Switch Present,,
00:06.6,Toy Switch Present,,
00:06.6,Toy Switch Present,,
